CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator,<init>,127,KILLED,com.google.common.cache.CacheBuilderSpec_ESTest.test49
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,disableCaching,162,KILLED,com.google.common.cache.CacheBuilderSpec_ESTest.test48
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.NullReturnValsMutator,disableCaching,162,SURVIVED,none
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator,disableCaching,162,SURVIVED,none
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.ArgumentPropagationMutator,durationInNanos,282,SURVIVED,none
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.EmptyObjectReturnValsMutator,durationInNanos,282,KILLED,com.google.common.cache.CacheBuilderSpec_ESTest.test36
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,durationInNanos,282,KILLED,com.google.common.cache.CacheBuilderSpec_ESTest.test38
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,durationInNanos,282,SURVIVED,none
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,durationInNanos,282,KILLED,com.google.common.cache.CacheBuilderSpec_ESTest.test36
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE,durationInNanos,282,KILLED,com.google.common.cache.CacheBuilderSpec_ESTest.test38
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF,durationInNanos,282,KILLED,com.google.common.cache.CacheBuilderSpec_ESTest.test36
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator,durationInNanos,282,KILLED,com.google.common.cache.CacheBuilderSpec_ESTest.test38
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.BooleanFalseReturnValsMutator,equals,253,KILLED,com.google.common.cache.CacheBuilderSpec_ESTest.test40
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.BooleanTrueReturnValsMutator,equals,256,NO_COVERAGE,none
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.BooleanTrueReturnValsMutator,equals,259,KILLED,com.google.common.cache.CacheBuilderSpec_ESTest.test39
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,equals,253,KILLED,com.google.common.cache.CacheBuilderSpec_ESTest.test40
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,equals,256,NO_COVERAGE,none
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,equals,272,KILLED,com.google.common.cache.CacheBuilderSpec_ESTest.test38
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,equals,272,KILLED,com.google.common.cache.CacheBuilderSpec_ESTest.test39
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,equals,252,KILLED,com.google.common.cache.CacheBuilderSpec_ESTest.test39
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,equals,255,KILLED,com.google.common.cache.CacheBuilderSpec_ESTest.test38
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,equals,259,KILLED,com.google.common.cache.CacheBuilderSpec_ESTest.test39
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,equals,260,KILLED,com.google.common.cache.CacheBuilderSpec_ESTest.test38
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,equals,261,KILLED,com.google.common.cache.CacheBuilderSpec_ESTest.test38
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,equals,262,KILLED,com.google.common.cache.CacheBuilderSpec_ESTest.test38
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,equals,263,KILLED,com.google.common.cache.CacheBuilderSpec_ESTest.test38
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,equals,264,KILLED,com.google.common.cache.CacheBuilderSpec_ESTest.test38
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,equals,265,KILLED,com.google.common.cache.CacheBuilderSpec_ESTest.test38
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,equals,266,KILLED,com.google.common.cache.CacheBuilderSpec_ESTest.test38
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,equals,269,KILLED,com.google.common.cache.CacheBuilderSpec_ESTest.test38
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,equals,272,KILLED,com.google.common.cache.CacheBuilderSpec_ESTest.test38
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,equals,259,KILLED,com.google.common.cache.CacheBuilderSpec_ESTest.test38
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,equals,260,KILLED,com.google.common.cache.CacheBuilderSpec_ESTest.test38
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,equals,261,KILLED,com.google.common.cache.CacheBuilderSpec_ESTest.test38
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,equals,262,KILLED,com.google.common.cache.CacheBuilderSpec_ESTest.test38
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,equals,263,KILLED,com.google.common.cache.CacheBuilderSpec_ESTest.test38
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,equals,264,KILLED,com.google.common.cache.CacheBuilderSpec_ESTest.test38
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,equals,265,KILLED,com.google.common.cache.CacheBuilderSpec_ESTest.test38
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,equals,267,SURVIVED,none
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,equals,268,SURVIVED,none
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,equals,266,KILLED,com.google.common.cache.CacheBuilderSpec_ESTest.test38
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,equals,270,KILLED,com.google.common.cache.CacheBuilderSpec_ESTest.test36
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,equals,271,KILLED,com.google.common.cache.CacheBuilderSpec_ESTest.test36
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,equals,269,KILLED,com.google.common.cache.CacheBuilderSpec_ESTest.test38
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,equals,273,KILLED,com.google.common.cache.CacheBuilderSpec_ESTest.test03
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,equals,274,SURVIVED,none
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,equals,272,KILLED,com.google.common.cache.CacheBuilderSpec_ESTest.test38
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE,equals,255,SURVIVED,none
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE,equals,259,KILLED,com.google.common.cache.CacheBuilderSpec_ESTest.test38
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE,equals,260,KILLED,com.google.common.cache.CacheBuilderSpec_ESTest.test38
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE,equals,261,KILLED,com.google.common.cache.CacheBuilderSpec_ESTest.test38
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE,equals,262,KILLED,com.google.common.cache.CacheBuilderSpec_ESTest.test38
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE,equals,263,KILLED,com.google.common.cache.CacheBuilderSpec_ESTest.test38
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE,equals,264,KILLED,com.google.common.cache.CacheBuilderSpec_ESTest.test38
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE,equals,265,KILLED,com.google.common.cache.CacheBuilderSpec_ESTest.test38
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE,equals,266,KILLED,com.google.common.cache.CacheBuilderSpec_ESTest.test38
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE,equals,269,KILLED,com.google.common.cache.CacheBuilderSpec_ESTest.test38
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE,equals,272,KILLED,com.google.common.cache.CacheBuilderSpec_ESTest.test38
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF,equals,252,KILLED,com.google.common.cache.CacheBuilderSpec_ESTest.test39
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF,equals,255,KILLED,com.google.common.cache.CacheBuilderSpec_ESTest.test38
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF,equals,259,KILLED,com.google.common.cache.CacheBuilderSpec_ESTest.test39
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF,equals,260,SURVIVED,none
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF,equals,261,SURVIVED,none
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF,equals,262,KILLED,com.google.common.cache.CacheBuilderSpec_ESTest.test38
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF,equals,263,SURVIVED,none
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF,equals,264,SURVIVED,none
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF,equals,265,KILLED,com.google.common.cache.CacheBuilderSpec_ESTest.test37
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF,equals,266,SURVIVED,none
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF,equals,269,KILLED,com.google.common.cache.CacheBuilderSpec_ESTest.test36
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF,equals,272,KILLED,com.google.common.cache.CacheBuilderSpec_ESTest.test03
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator,equals,253,KILLED,com.google.common.cache.CacheBuilderSpec_ESTest.test40
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator,equals,256,NO_COVERAGE,none
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator,equals,259,KILLED,com.google.common.cache.CacheBuilderSpec_ESTest.test39
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.ArgumentPropagationMutator,format,477,SURVIVED,none
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.EmptyObjectReturnValsMutator,format,477,SURVIVED,none
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,format,477,SURVIVED,none
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator,format,477,SURVIVED,none
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,hashCode,237,SURVIVED,none
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,hashCode,237,SURVIVED,none
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,hashCode,237,SURVIVED,none
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,hashCode,237,SURVIVED,none
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,hashCode,237,SURVIVED,none
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,hashCode,237,SURVIVED,none
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,hashCode,237,SURVIVED,none
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,hashCode,237,SURVIVED,none
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,hashCode,237,SURVIVED,none
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,hashCode,245,SURVIVED,none
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,hashCode,246,KILLED,com.google.common.cache.CacheBuilderSpec_ESTest.test16
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,hashCode,245,SURVIVED,none
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,hashCode,246,SURVIVED,none
CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec,org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,hashCode,247,SURVIVED,none
